id,focus,signal,slack,drag,confidence,score,lane
l001,diagnostic quality,35,33,6,25,238,ship
l002,review cost,35,34,6,55,300,ship
l003,safe rewrite,35,35,6,85,362,ship
l004,change width,35,36,18,25,208,ship
l005,diagnostic quality,35,37,18,55,270,ship
l006,review cost,35,38,18,85,332,ship
l007,safe rewrite,35,39,34,25,166,watch
l008,change width,35,40,34,55,228,ship
l009,diagnostic quality,35,41,34,85,290,ship
l010,review cost,60,42,6,25,356,ship
l011,safe rewrite,60,43,6,55,418,ship
l012,change width,60,44,6,85,480,ship
l013,diagnostic quality,60,45,18,25,326,ship
l014,review cost,60,46,18,55,388,ship
l015,safe rewrite,60,47,18,85,450,ship
l016,change width,60,48,34,25,284,ship
l017,diagnostic quality,60,32,34,55,312,ship
l018,review cost,60,33,34,85,374,ship
l019,safe rewrite,85,34,6,25,440,ship
l020,change width,85,35,6,55,502,ship
l021,diagnostic quality,85,36,6,85,564,ship
l022,review cost,85,37,18,25,410,ship
l023,safe rewrite,85,38,18,55,472,ship
l024,change width,85,39,18,85,534,ship
l025,diagnostic quality,85,40,34,25,368,ship
l026,review cost,85,41,34,55,430,ship
l027,safe rewrite,85,42,34,85,492,ship
